jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	sm_naks	kv_pair
808128.18	-2500-06-24	-2500	2	R2-grīṣma	False	89.11	N10-Mag/α Leo	269.06	N24-Sha/λ Aqr	1	179	N10-Mag	N24-Sha	N10-Mag-N24-Sha	False
808157.57	-2500-07-24	-2500	3	R3-varṣā	False	117.87	N12-UPal/β Leo	297.99	N25-PBha/β Peg	1	180	N12-UPal	N25-PBha	N12-UPal-N25-PBha	False
808187.04	-2500-08-22	-2500	3	R3-varṣā	False	147.24	N15-Swa/α Boo	327.33	N01-Ash/γ Ari	1	180	N15-Swa	N01-Ash	N15-Swa-N01-Ash	False
808216.60	-2500-09-21	-2500	4	R4-śarat	True	177.18	N17-Anu/δ Sco	356.77	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	N17-Anu-N03-Kri	False
808246.34	-2500-10-20	-2500	4	R4-śarat	False	207.57	N20-PAsh/γ Sgr	27.39	N05-Mrg/α Ori	1	-180	N20-PAsh	N05-Mrg	N20-PAsh-N05-Mrg	False
808276.17	-2500-11-19	-2500	5	R5-hemanta	False	238.02	N22-Shr/α Aql	58.21	N07-Pun/β Gem	1	-179	N22-Shr	N07-Pun	N22-Shr-N07-Pun	False
808306.00	-2500-12-19	-2500	5	R5-hemanta	False	268.18	N23-Dha/γ2 Del	88.75	N10-Mag/α Leo	1	-179	N23-Dha	N10-Mag	N23-Dha-N10-Mag	False
808335.61	-2499-01-18	-2499	6	R6-śiśira	False	297.61	N25-PBha/β Peg	116.88	N12-UPal/β Leo	1	-180	N25-PBha	N12-UPal	N25-PBha-N12-UPal	False
808365.29	-2499-02-16	-2499	6	R6-śiśira	False	326.58	N01-Ash/γ Ari	146.51	N15-Swa/α Boo	1	-180	N01-Ash	N15-Swa	N01-Ash-N15-Swa	False
808394.84	-2499-03-18	-2499	1	R1-vasanta	False	354.96	N03-Kri/* 17 Tau	175.30	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	N03-Kri-N17-Anu	False
808424.23	-2499-04-16	-2499	1	R1-vasanta	False	22.93	N05-Mrg/λ Ori	202.93	N19-Mul/θ Sco	1	180	N05-Mrg	N19-Mul	N05-Mrg-N19-Mul	False
808453.59	-2499-05-16	-2499	2	R2-grīṣma	False	50.85	N07-Pun/β Gem	231.01	N22-Shr/α Aql	1	180	N07-Pun	N22-Shr	N07-Pun-N22-Shr	False
808482.86	-2499-06-14	-2499	2	R2-grīṣma	False	78.90	N10-Mag/ε Leo	258.49	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	N10-Mag-N23-Dha	False
808512.21	-2499-07-13	-2499	3	R3-varṣā	False	107.43	N12-UPal/* 93 Leo	287.38	N25-PBha/α Peg	1	179	N12-UPal	N25-PBha	N12-UPal-N25-PBha	False
808541.61	-2499-08-12	-2499	3	R3-varṣā	False	136.54	N13-Has/β Crv	316.87	N27-Rev/ε Psc	1	180	N13-Has	N27-Rev	N13-Has-N27-Rev	False
808571.04	-2499-09-10	-2499	4	R4-śarat	False	166.20	N16-Vis/α2 Lib	346.16	N02-Bha/* 39 Ari	1	179	N16-Vis	N02-Bha	N16-Vis-N02-Bha	False
808600.59	-2499-10-10	-2499	4	R4-śarat	False	196.32	N19-Mul/ζ2 Sco	16.14	N05-Mrg/γ Ori	1	-180	N19-Mul	N05-Mrg	N19-Mul-N05-Mrg	False
808630.24	-2499-11-08	-2499	5	R5-hemanta	False	226.64	N21-UAsh/τ Sgr	46.66	N07-Pun/α Gem	1	-179	N21-UAsh	N07-Pun	N21-UAsh-N07-Pun	False
808659.99	-2499-12-08	-2499	5	R5-hemanta	False	256.85	N23-Dha/δ Del	77.35	N10-Mag/ε Leo	1	-179	N23-Dha	N10-Mag	N23-Dha-N10-Mag	False
808689.60	-2498-01-07	-2498	6	R6-śiśira	False	286.49	N25-PBha/α Peg	105.73	N12-UPal/* 93 Leo	1	-180	N25-PBha	N12-UPal	N25-PBha-N12-UPal	False
